GDC_Aliquot	proj	mean_CN
00014f01-24a5-4226-9ed6-4b9cabacd074	OV	3.0279295770995
0005feff-0d0e-44df-b4cb-df334ebc1c1b	HNSC	2.25384113119126
0012360f-99e4-4ccf-90e8-b5b1829cc602	COAD	2.09138004162602
0016bb20-f9ab-42ad-9d22-154bc12dfc14	BRCA	1.99756898385052
002bb3a4-c3ab-4326-9f72-6838158ef020	THCA	2.00083309518907
00392cb3-cb0f-433d-a934-bbecf372c99b	HNSC	3.81121048010231
003f5063-2d5a-4da5-aa5a-30e54d5ff497	LGG	3.88445037454483
00424cfe-a3c2-4318-9599-e150b9b56d48	UCS	2.01545860494182
004d332c-6468-41b2-bbef-4c68c7f8374a	LUSC	2.24798253364497
0056b0fa-8cd7-4e78-a76b-9c616246f9c2	OV	3.44294123074437
00598fc8-30bc-417d-8984-93ee390e8961	PAAD	3.27477763404299
005dbb8a-a03e-4f93-ab1f-17ea2e47aabf	STAD	2.24191102685134
005e0a54-044f-438b-bb98-399c23cc5fbd	LUSC	1.82233287535362
005fcaea-789e-4656-81a2-9ab1116c9fdd	LGG	3.6709056029235
006c80c2-0273-42ab-8849-60700f462efc	GBM	3.91004879724204
006f507d-7734-427b-8652-72cceb45253b	LIHC	4.4747278986305
007a3b5e-75ba-4990-8d49-5ff398939eb0	BLCA	4.03854331762438
0080b1c1-7fc7-48be-979b-3f3400080e39	LUAD	4.73786158294351
00814ce1-0bd9-479e-80a7-ff32ac9b3d82	PRAD	2.00050703004127
0084279d-2eb7-4c98-8e06-fb2d21b34dad	UVM	2.06418638769177
0085255e-1e3c-48b2-9e53-bfc5aa5bf7c6	PRAD	3.82134064047021
008b77cd-44a6-469d-a563-308c7ff70fc0	COAD	3.9066651823573
008c0e5f-0fd9-447e-a77c-afc20cb109e6	OV	2.98332228669025
008f75de-3e64-4887-9ec2-85e20ebbaa67	BLCA	3.9512785355823
009dda02-ce4c-4de1-82e2-b6f43827af53	CESC	4.46087639106484
009e38eb-6d65-4dee-93a5-9d0ba10f66ba	GBM	2.06814644629244
00a35e3c-3f6a-41ca-bc50-55346590c501	ESCA	3.23258200093615
00a41d0b-afb1-4c39-bbda-c152938dd629	READ	2.21859631045199
00a9cd7a-f609-4741-a261-79e844901abd	LUAD	2.57187160613286
00a9f997-f301-4e3c-a52d-cc86393a5098	THCA	1.99069300411167
00aa41f7-e743-4fb8-bb3b-6b19c347b0d2	BLCA	1.96932183451053
00b7522e-910f-4bc7-bd84-824493310b08	THYM	3.95918163632358
00bc4623-87ad-4b6f-afe3-fec75274d3ea	GBM	1.85842591540689
00c3a88f-5a0a-445a-9e32-4cb4858755e1	COAD	2.05850428606924
00d8d966-3b07-4ecc-aa3e-3adf967de41c	BRCA	2.08727314894828
00e2a4bb-6ef0-4e36-88ba-d0cb858b55e6	BLCA	1.53445617906194
00e5b006-6afc-4ea4-90e3-f29741560020	KIRC	2.11885903181249
00e755bd-da85-4020-9b8b-4a19eed8373d	THCA	2.00036600630251
00e80dbf-ab3c-4920-a3bc-9d8225a4030c	SARC	2.93098946848889
00f139fc-6b25-4e56-b27f-967936f61394	KIRP	2.30284869899568
00f40773-ae72-40a7-8990-65d706b1a2a6	LUSC	3.18205848675485
00f502c5-55b4-4a1b-987e-263ef1b9c3d6	OV	2.0312865002823
00fd6f29-6e53-450d-878f-f3880487373d	THCA	2.00009234858368
010a8e5c-8146-4010-8d14-17d70c315331	UCS	2.36299295383483
0116158a-ba5a-4cb5-a5f5-64d94dfb8b0d	ESCA	1.75306430096024
01173642-d093-4a8a-9b2c-5ffd61c51453	LUAD	1.7335365114984
0126fcbe-39a6-4b89-9fc3-0dae79cdacd2	LUSC	3.56177978694581
012cacd5-8407-4663-bf5f-06a7f054c850	BLCA	2.02297231329837
013b1afa-62fd-4516-b6cd-d1c713a5a8a7	TGCT	4.56369366903038
01410e1a-5443-44cd-a61d-58f9be23e294	PRAD	1.95824925197146
01428281-1653-4839-b5cf-167bc62eb147	BRCA	2.25330654456604
01451594-7174-4bd0-95f7-c52537f1d87d	KIRP	2.12113382843344
01581450-af5c-4bde-af39-442af7948b78	LGG	1.86498566614627
015af4f1-9ae8-4dd0-ac33-7a3ed2f57a92	GBM	3.79341898809008
0179d350-8a90-4269-8eee-a0b971d23cb8	BRCA	1.87746466338308
01897ba8-b0e8-4f65-9d31-d70e12095277	HNSC	2.17534796424883
019358e7-9795-4e8f-9751-3dfffe99c5ab	OV	3.16745230016376
0196d839-10c1-48f7-ac26-a681d6040f79	UVM	1.929139999936
